Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
Guyana,5.0,-58.75,5/12/20,113,10,36,2020-05-12,SA,South America
Haiti,18.9712,-72.2852,5/12/20,209,16,17,2020-05-12,,North America
Honduras,15.2,-86.2419,5/12/20,2080,121,211,2020-05-12,,North America
Hungary,47.1625,19.5033,5/12/20,3313,425,1007,2020-05-12,EU,Europe
Iceland,64.9631,-19.0208,5/12/20,1801,10,1776,2020-05-12,EU,Europe
India,21.0,78.0,5/12/20,74292,2415,24420,2020-05-12,AS,Asia
Indonesia,-0.7893,113.9213,5/12/20,14749,1007,3063,2020-05-12,AS,Asia
Iran,32.0,53.0,5/12/20,110767,6733,88357,2020-05-12,AS,Asia
Iraq,33.0,44.0,5/12/20,2913,112,1903,2020-05-12,AS,Asia
Ireland,53.1424,-7.6921,5/12/20,23242,1488,17110,2020-05-12,EU,Europe
Israel,31.0,35.0,5/12/20,16529,260,12083,2020-05-12,AS,Asia
Italy,43.0,12.0,5/12/20,221216,30911,109039,2020-05-12,EU,Europe
Jamaica,18.1096,-77.2975,5/12/20,507,9,100,2020-05-12,,North America
Japan,36.0,138.0,5/12/20,15968,657,8531,2020-05-12,AS,Asia
Jordan,31.24,36.51,5/12/20,576,9,390,2020-05-12,AS,Asia
Kazakhstan,48.0196,66.9237,5/12/20,5279,32,2223,2020-05-12,AS,Asia
Kenya,-0.0236,37.9062,5/12/20,715,36,259,2020-05-12,AF,Africa
South Korea,36.0,128.0,5/12/20,10962,259,9695,2020-05-12,AS,Asia
Kuwait,29.5,47.75,5/12/20,10277,75,3101,2020-05-12,AS,Asia
Kyrgyzstan,41.2044,74.7661,5/12/20,1037,12,709,2020-05-12,AS,Asia
Latvia,56.8796,24.6032,5/12/20,950,18,627,2020-05-12,EU,Europe
Lebanon,33.8547,35.8623,5/12/20,870,26,234,2020-05-12,AS,Asia
Liberia,6.4281,-9.4295,5/12/20,211,20,85,2020-05-12,AF,Africa
Liechtenstein,47.14,9.55,5/12/20,82,1,55,2020-05-12,EU,Europe
Lithuania,55.1694,23.8813,5/12/20,1491,50,850,2020-05-12,EU,Europe
Luxembourg,49.8153,6.1296,5/12/20,3894,102,3610,2020-05-12,EU,Europe
Madagascar,-18.7669,46.8691,5/12/20,186,0,101,2020-05-12,AF,Africa
Malaysia,2.5,112.5,5/12/20,6742,109,5223,2020-05-12,AS,Asia
Maldives,3.2028,73.2207,5/12/20,904,3,29,2020-05-12,AS,Asia
Malta,35.9375,14.3754,5/12/20,506,5,434,2020-05-12,EU,Europe
Mauritania,21.0079,10.9408,5/12/20,9,1,6,2020-05-12,AF,Africa
Mauritius,-20.2,57.5,5/12/20,332,10,322,2020-05-12,AF,Africa
Mexico,23.6345,-102.5528,5/12/20,38324,3926,25935,2020-05-12,,North America
Moldova,47.4116,28.3699,5/12/20,5154,182,2069,2020-05-12,EU,Europe
Monaco,43.7333,7.4167,5/12/20,96,4,85,2020-05-12,EU,Europe
Mongolia,46.8625,103.8467,5/12/20,42,0,15,2020-05-12,AS,Asia
Montenegro,42.5,19.3,5/12/20,324,9,298,2020-05-12,EU,Europe
Morocco,31.7917,-7.0926,5/12/20,6418,188,2991,2020-05-12,AF,Africa
Namibia,-22.9576,18.4904,5/12/20,16,0,11,2020-05-12,AF,Africa
Nepal,28.1667,84.25,5/12/20,217,0,33,2020-05-12,AS,Asia
Netherlands,12.5186,-70.0358,5/12/20,101,3,89,2020-05-12,EU,Europe
Netherlands,12.1696,-68.99,5/12/20,16,1,14,2020-05-12,EU,Europe
Netherlands,18.0425,-63.0548,5/12/20,76,15,46,2020-05-12,EU,Europe
Netherlands,52.1326,5.2913,5/12/20,42984,5510,0,2020-05-12,EU,Europe
New Zealand,-40.9006,174.886,5/12/20,1497,21,1402,2020-05-12,OC,Oceania
Nicaragua,12.8654,-85.2072,5/12/20,25,8,7,2020-05-12,,North America
Niger,17.6078,8.0817,5/12/20,854,47,648,2020-05-12,AF,Africa
Nigeria,9.082,8.6753,5/12/20,4787,158,959,2020-05-12,AF,Africa
North Macedonia,41.6086,21.7453,5/12/20,1674,92,1205,2020-05-12,EU,Europe
Norway,60.472,8.4689,5/12/20,8157,228,32,2020-05-12,EU,Europe
