location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name
Gabon,2020-05-15,1104,100,10,1,496.017,44.928999999999995,4.493,0.449,2225728.0,7.859,23.1,4.45,2.9760000000000004,16562.413,259.967,7.2,1.9,24.7,6.3,AF,Africa
United Kingdom,2020-05-15,233151,3446,33614,428,3434.449,50.762,495.154,6.305,67886004.0,272.89799999999997,40.8,18.517,12.527000000000001,39753.244,122.137,4.28,20.0,24.7,2.54,EU,Europe
Georgia,2020-05-15,667,20,12,1,167.202,5.013999999999999,3.008,0.251,3989175.0,65.032,38.7,14.864,10.244000000000002,9745.079,496.218,7.11,5.3,55.5,2.6,AS,Asia
Guernsey,2020-05-15,252,0,13,0,0.467,0.0,0.0,0.0,809.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Ghana,2020-05-15,5530,122,24,0,177.968,3.926,0.772,0.0,31072945.0,126.719,21.1,3.385,1.9480000000000002,4227.63,298.245,4.97,0.3,7.7,0.9,AF,Africa
Gibraltar,2020-05-15,147,0,0,0,4363.183,0.0,0.0,0.0,33691.0,3457.1,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Guinea,2020-05-15,2473,99,14,0,188.30700000000002,7.537999999999999,1.0659999999999998,0.0,13132792.0,51.755,19.0,3.135,1.733,1998.9260000000002,336.717,2.42,1.9,24.7,0.3,AF,Africa
Gambia,2020-05-15,23,0,1,0,9.517000000000001,0.0,0.414,0.0,2416664.0,207.56599999999997,17.5,2.339,1.4169999999999998,1561.767,331.43,1.91,0.7,31.2,1.1,AF,Africa
Guinea-Bissau,2020-05-15,913,93,3,0,463.923,47.256,1.524,0.0,1967998.0,66.191,19.4,3.002,1.565,1548.675,382.474,2.42,1.9,24.7,0.7,AF,Africa
Equatorial Guinea,2020-05-15,594,72,7,1,423.38300000000004,51.318999999999996,4.989,0.713,1402985.0,45.193999999999996,22.4,2.846,1.7519999999999998,22604.873,202.812,7.78,1.9,24.7,2.1,AF,Africa
Greece,2020-05-15,2770,10,156,1,265.757,0.9590000000000001,14.967,0.096,10423056.0,83.479,45.3,20.396,14.524000000000001,24574.382,175.695,4.55,35.3,52.0,4.21,EU,Europe
Grenada,2020-05-15,21,0,0,0,186.635,0.0,0.0,0.0,112519.0,317.132,29.4,7.303999999999999,5.021,13593.877,243.96400000000003,10.71,1.9,24.7,3.7,NA,North America
Greenland,2020-05-15,11,0,0,0,193.757,0.0,0.0,0.0,56772.0,0.13699999999999998,32.4,6.933,1.726,661.24,199.94099999999997,2.16,1.9,24.7,0.7,NA,North America
Guatemala,2020-05-15,1518,176,29,0,84.73100000000001,9.824,1.619,0.0,17915567.0,157.834,22.9,4.694,3.016,7423.808000000001,155.898,10.18,1.9,24.7,0.6,NA,North America
Guam,2020-05-15,154,2,5,0,912.414,11.85,29.624000000000002,0.0,168783.0,304.128,31.4,9.551,5.492999999999999,661.24,310.496,21.52,1.9,24.7,0.7,OC,Oceania
Guyana,2020-05-15,113,0,10,0,143.664,0.0,12.714,0.0,786559.0,3.952,26.3,5.305,2.8369999999999997,7435.047,373.159,11.62,1.9,24.7,1.6,SA,South America
Honduras,2020-05-15,2318,63,133,10,234.032,6.361000000000001,13.427999999999999,1.01,9904608.0,82.805,24.9,4.652,2.883,4541.795,240.208,7.21,2.0,24.7,0.7,NA,North America
Croatia,2020-05-15,2221,8,94,0,541.012,1.949,22.897,0.0,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,253.782,5.59,34.3,39.9,5.54,EU,Europe
Haiti,2020-05-15,273,39,20,2,23.941999999999997,3.42,1.754,0.175,11402533.0,398.44800000000004,24.3,4.8,2.9539999999999997,1653.1729999999998,430.548,6.65,2.9,23.1,0.7,NA,North America
Hungary,2020-05-15,3417,37,442,6,353.714,3.83,45.754,0.621,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,278.296,7.55,26.8,34.8,7.02,EU,Europe
Indonesia,2020-05-15,16006,568,1043,15,58.518,2.077,3.813,0.055,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,342.86400000000003,6.32,2.8,76.1,1.04,AS,Asia
Isle of Man,2020-05-15,332,0,23,0,3904.4120000000003,0.0,270.486,0.0,85032.0,147.872,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
India,2020-05-15,81970,3967,2649,100,59.398,2.875,1.92,0.07200000000000001,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,282.28,10.39,1.9,20.6,0.53,AS,Asia
Ireland,2020-05-15,23827,426,1506,9,4825.432,86.273,304.994,1.8230000000000002,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,126.459,3.28,23.0,25.7,2.96,EU,Europe
Iran,2020-05-15,114533,1808,6854,71,1363.602,21.526,81.602,0.845,83992953.0,49.831,32.4,5.44,3.182,19082.62,270.308,9.59,0.8,21.1,1.5,AS,Asia
Iraq,2020-05-15,3143,111,115,0,78.14,2.76,2.859,0.0,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,218.612,8.83,1.9,24.7,1.4,AS,Asia
Iceland,2020-05-15,1802,0,10,0,5280.585999999999,0.0,29.304000000000002,0.0,341250.0,3.404,37.3,14.431,9.207,46482.958,117.992,5.31,14.3,15.2,2.91,EU,Europe
Israel,2020-05-15,16579,31,265,1,1915.42,3.582,30.616,0.11599999999999999,8655541.0,402.606,30.6,11.732999999999999,7.359,33132.32,93.32,6.74,15.4,35.4,2.99,AS,Asia
Italy,2020-05-15,223096,992,31368,262,3689.865,16.407,518.807,4.333,60461828.0,205.859,47.9,23.021,16.24,35220.084,113.15100000000001,4.78,19.8,27.8,3.18,EU,Europe
Jamaica,2020-05-15,509,0,9,0,171.892,0.0,3.0389999999999997,0.0,2961161.0,266.879,31.4,9.684,6.39,8193.571,206.537,11.28,5.3,28.6,1.7,NA,North America
Jersey,2020-05-15,297,1,27,0,0.467,0.0,0.0,0.0,809.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Jordan,2020-05-15,586,4,9,0,57.433,0.392,0.882,0.0,10203140.0,109.285,23.2,3.81,2.3609999999999998,8337.49,208.257,11.75,1.9,24.7,1.4,AS,Asia
Japan,2020-05-15,16193,114,710,23,128.032,0.9009999999999999,5.614,0.182,126476458.0,347.778,48.2,27.049,18.493,39002.223,79.37,5.72,11.2,33.7,13.05,AS,Asia
Kazakhstan,2020-05-15,5571,0,32,0,296.697,0.0,1.704,0.0,18776707.0,6.681,30.6,6.9910000000000005,4.625,24055.588,466.792,7.11,7.0,43.1,6.7,AS,Asia
Kenya,2020-05-15,758,21,42,2,14.097000000000001,0.391,0.7809999999999999,0.037000000000000005,53771300.0,87.324,20.0,2.6860000000000004,1.528,2993.028,218.637,2.92,1.2,20.4,1.4,AF,Africa
Kyrgyzstan,2020-05-15,1111,29,14,2,170.28900000000002,4.445,2.146,0.307,6524191.0,32.333,26.3,4.489,2.8819999999999997,3393.474,436.36199999999997,7.11,3.6,50.5,4.5,AS,Asia
Cambodia,2020-05-15,122,0,0,0,7.297000000000001,0.0,0.0,0.0,16718971.0,90.67200000000001,25.6,4.412,2.385,3645.07,270.892,4.0,2.0,33.7,0.8,AS,Asia
Saint Kitts and Nevis,2020-05-15,15,0,0,0,281.997,0.0,0.0,0.0,53192.0,212.865,32.4,6.933,1.726,24654.385,79.37,12.84,1.9,24.7,2.3,NA,North America
South Korea,2020-05-15,11018,27,260,0,214.905,0.527,5.071000000000001,0.0,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,85.99799999999999,6.8,6.2,40.9,12.27,AS,Asia
Kuwait,2020-05-15,11975,947,88,6,2804.08,221.75099999999998,20.605999999999998,1.405,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,132.235,15.84,2.7,37.0,2.0,AS,Asia
Laos,2020-05-15,19,0,0,0,2.611,0.0,0.0,0.0,7275556.0,29.715,24.4,4.029,2.322,6397.36,368.111,4.0,7.3,51.2,1.5,AS,Asia
Lebanon,2020-05-15,886,8,26,0,129.808,1.172,3.8089999999999997,0.0,6825442.0,594.561,31.1,8.514,5.43,13367.565,266.591,12.71,26.9,40.7,2.9,AS,Asia
Liberia,2020-05-15,215,2,20,0,42.51,0.395,3.9539999999999997,0.0,5057677.0,49.126999999999995,19.2,3.057,1.756,752.788,272.509,2.42,1.5,18.1,0.8,AF,Africa
Libya,2020-05-15,64,0,3,0,9.314,0.0,0.43700000000000006,0.0,6871287.0,3.623,29.0,4.4239999999999995,2.8160000000000003,17881.509,341.86199999999997,10.43,1.9,24.7,3.7,AF,Africa
Saint Lucia,2020-05-15,18,0,0,0,98.024,0.0,0.0,0.0,183629.0,293.187,34.9,9.721,6.405,12951.839,204.62,11.62,1.9,24.7,1.3,NA,North America
Liechtenstein,2020-05-15,83,0,1,0,2176.364,0.0,26.221,0.0,38137.0,237.012,32.4,6.933,1.726,661.24,79.37,7.77,1.9,24.7,2.397,EU,Europe
Sri Lanka,2020-05-15,925,10,9,0,43.198,0.467,0.42,0.0,21413250.0,341.955,34.1,10.068999999999999,5.331,11669.077,197.093,10.68,0.3,27.0,3.6,AS,Asia
Lesotho,2020-05-15,1,1,0,0,0.467,0.467,0.0,0.0,2142252.0,73.562,22.2,4.506,2.647,2851.153,405.126,3.94,0.4,53.9,0.7,AF,Africa
Lithuania,2020-05-15,1511,6,54,0,555.047,2.204,19.836,0.0,2722291.0,45.135,43.5,19.002,13.777999999999999,29524.265,342.98900000000003,3.67,21.3,38.0,6.56,EU,Europe
Luxembourg,2020-05-15,3915,11,103,0,6254.233,17.573,164.543,0.0,625976.0,231.447,39.7,14.312000000000001,9.842,94277.965,128.275,4.42,20.9,26.0,4.51,EU,Europe
Latvia,2020-05-15,962,11,19,0,510.02,5.832000000000001,10.073,0.0,1886202.0,31.212,43.9,19.754,14.136,25063.846,350.06,4.91,25.6,51.0,5.57,EU,Europe
Morocco,2020-05-15,6607,95,190,2,179.0,2.574,5.148,0.054000000000000006,36910558.0,80.08,29.6,6.769,4.209,7485.013000000001,419.14599999999996,7.14,0.8,47.1,1.1,AF,Africa
Monaco,2020-05-15,96,0,4,0,2446.234,0.0,101.926,0.0,39244.0,19347.5,32.4,6.933,1.726,661.24,79.37,5.46,1.9,24.7,13.8,EU,Europe
Moldova,2020-05-15,5553,147,194,9,1376.5620000000001,36.441,48.092,2.231,4033963.0,123.655,37.6,10.864,6.955,5189.972,408.50199999999995,5.72,5.9,44.6,5.8,EU,Europe
Madagascar,2020-05-15,230,18,0,0,8.306000000000001,0.65,0.0,0.0,27691019.0,43.951,19.6,2.929,1.686,1416.44,405.994,3.94,1.9,24.7,0.2,AF,Africa
Maldives,2020-05-15,982,27,4,0,1816.695,49.95,7.4,0.0,540542.0,1454.433,30.6,4.12,2.875,15183.616000000002,164.905,9.19,2.1,55.0,0.7,AS,Asia
Mexico,2020-05-15,42595,2409,4477,257,330.366,18.684,34.724000000000004,1.993,128932753.0,66.444,29.3,6.857,4.321000000000001,17336.468999999997,152.783,13.06,6.9,21.4,1.38,NA,North America
Macedonia,2020-05-15,1723,29,95,0,827.0210000000001,13.92,45.599,0.0,2083380.0,82.6,39.1,13.26,8.16,13111.214,322.688,10.08,1.9,24.7,4.28,EU,Europe
Mali,2020-05-15,779,21,46,2,38.468,1.037,2.272,0.099,20250834.0,15.196,16.4,2.519,1.486,2014.306,268.024,2.42,1.6,23.0,0.1,AF,Africa
Malta,2020-05-15,522,14,6,0,1182.229,31.706999999999997,13.589,0.0,441539.0,1454.037,42.4,19.426,11.324000000000002,36513.323,168.71099999999998,8.83,20.9,30.2,4.485,EU,Europe
Myanmar,2020-05-15,181,0,6,0,3.327,0.0,0.11,0.0,54409794.0,81.721,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,0.9,AS,Asia
Montenegro,2020-05-15,324,0,9,0,515.873,0.0,14.33,0.0,628062.0,46.28,39.1,14.762,9.395,16409.288,387.305,10.08,44.0,47.9,3.861,EU,Europe
Mongolia,2020-05-15,61,0,0,0,18.607,0.0,0.0,0.0,3278292.0,1.98,28.6,4.031000000000001,2.421,11840.846000000001,460.043,4.82,5.5,46.5,7.0,AS,Asia
Northern Mariana Islands,2020-05-15,19,0,2,0,330.108,0.0,34.748000000000005,0.0,57557.0,119.87799999999999,32.4,6.933,1.726,661.24,194.99400000000003,2.42,1.9,24.7,0.7,OC,Oceania
Mozambique,2020-05-15,115,8,0,0,3.679,0.256,0.0,0.0,31255435.0,37.728,17.7,3.158,1.87,1136.103,329.94199999999995,3.3,5.1,29.1,0.7,AF,Africa
Mauritania,2020-05-15,16,7,2,0,3.4410000000000003,1.505,0.43,0.0,4649660.0,4.289,20.3,3.138,1.7919999999999998,3597.633,232.347,2.42,1.9,24.7,0.7,AF,Africa
Montserrat,2020-05-15,11,0,1,0,2200.44,0.0,200.04,0.0,4999.0,0.13699999999999998,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,NA,North America
Mauritius,2020-05-15,332,0,10,0,261.05400000000003,0.0,7.8629999999999995,0.0,1271767.0,622.962,37.4,10.945,5.8839999999999995,20292.745,224.644,22.02,3.2,40.7,3.4,AF,Africa
Malawi,2020-05-15,63,0,3,0,3.293,0.0,0.157,0.0,19129955.0,197.519,18.1,2.9789999999999996,1.7830000000000001,1095.042,227.34900000000002,3.94,4.4,24.7,1.3,AF,Africa
Malaysia,2020-05-15,6819,40,112,1,210.68400000000003,1.236,3.46,0.031,32365998.0,96.25399999999999,29.9,6.292999999999999,3.407,26808.164,260.942,16.74,1.0,42.4,1.9,AS,Asia
Namibia,2020-05-15,16,0,0,0,6.297000000000001,0.0,0.0,0.0,2540916.0,3.0780000000000003,22.0,3.552,2.085,9541.808,243.81099999999998,3.94,9.7,34.2,0.7,AF,Africa
New Caledonia,2020-05-15,18,0,0,0,63.049,0.0,0.0,0.0,285491.0,15.342,33.4,9.954,6.489,661.24,79.37,23.36,1.9,24.7,0.7,OC,Oceania
