Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name_x,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_100k,Continent_code,Continent_name_y
South Africa,-30.5595,22.9375,5/15/20,13524,247,6083,2020-05-15,AF,Africa,South Africa,2020-05-15,12.739,665,0.238,19,214.791,11.213,4.013,0.32,59308690.0,46.754,27.3,5.343999999999999,3.053,12294.876,200.38,5.52,8.1,33.2,2.32,AF,Africa
Kuwait,29.5,47.75,5/15/20,12860,96,3640,2020-05-15,AS,Asia,Kuwait,2020-05-15,11.975,947,0.08800000000000001,6,2804.08,221.75099999999998,20.605999999999998,1.405,4270563.0,232.128,33.7,2.345,1.114,65530.537000000004,132.235,15.84,2.7,37.0,2.0,AS,Asia
Philippines,13.0,122.0,5/15/20,12091,806,2460,2020-05-15,AS,Asia,Philippines,2020-05-15,11.876,258,0.79,18,108.376,2.354,7.209,0.16399999999999998,109581085.0,351.87300000000016,25.2,4.803,2.661,7599.188,370.43699999999995,7.07,7.8,40.8,1.0,AS,Asia
Dominican Republic,18.7357,-70.1627,5/15/20,11739,424,3557,2020-05-15,,North America,Dominican Republic,2020-05-15,11.32,124,0.422,13,1043.52,11.431,38.902,1.198,10847904.0,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,8.5,19.1,1.6,,North America
Egypt,26.0,30.0,5/15/20,11228,592,2799,2020-05-15,AF,Africa,Egypt,2020-05-15,10.829,398,0.5710000000000001,15,105.82,3.889,5.58,0.147,102334403.0,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,0.2,50.1,1.6,AF,Africa
South Korea,36.0,128.0,5/15/20,11037,262,9851,2020-05-15,AS,Asia,South Korea,2020-05-15,11.018,27,0.26,0,214.905,0.527,5.0710000000000015,0.0,51269183.0,527.967,43.4,13.914000000000001,8.622,35938.373999999996,85.99799999999998,6.8,6.2,40.9,12.27,AS,Asia
Denmark,56.2639,9.5018,5/15/20,10791,537,8959,2020-05-15,EU,Europe,Denmark,2020-05-15,10.713,46,0.537,4,1849.555,7.942,92.711,0.691,5792203.0,136.52,42.3,19.677,12.325,46682.515,114.76700000000001,6.41,19.3,18.8,2.5,EU,Europe
Denmark,56.2639,9.5018,5/15/20,10791,537,8959,2020-05-15,EU,Europe,Denmark,2020-05-15,0.187,0,0.0,0,3826.87,0.0,0.0,0.0,48865.0,35.308,32.4,6.933,1.726,661.24,79.37,2.42,1.9,24.7,0.7,EU,Europe
Serbia,44.0165,21.0059,5/15/20,10438,225,4301,2020-05-15,EU,Europe,Serbia,2020-05-15,10.374,79,0.224,2,1524.558,11.61,32.919000000000004,0.294,6804596.0,80.291,41.2,17.366,1.726,14048.881000000001,439.415,10.08,37.7,40.2,5.609,EU,Europe
Panama,8.538,-80.7821,5/15/20,9268,266,6080,2020-05-15,,North America,Panama,2020-05-15,9.118,174,0.26,4,2113.207000000001,40.327,60.258,0.927,4314768.0,55.133,29.7,7.9179999999999975,5.03,22267.037,128.346,8.33,2.4,9.9,2.3,,North America
