Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Fdate,Continent,Continent_name
France,-17.6797,149.4068,1/22/20,0,0,0,2020-01-22,EU,Europe
France,16.25,-61.5833,1/22/20,0,0,0,2020-01-22,EU,Europe
France,-12.8275,45.1662,1/22/20,0,0,0,2020-01-22,EU,Europe
France,-20.9043,165.618,1/22/20,0,0,0,2020-01-22,EU,Europe
France,-21.1351,55.2471,1/22/20,0,0,0,2020-01-22,EU,Europe
France,17.9,-62.8333,1/22/20,0,0,0,2020-01-22,EU,Europe
France,18.0708,-63.0501,1/22/20,0,0,0,2020-01-22,EU,Europe
France,14.6415,-61.0242,1/22/20,0,0,0,2020-01-22,EU,Europe
France,46.2276,2.2137,1/22/20,0,0,0,2020-01-22,EU,Europe
Gabon,-0.8037,11.6094,1/22/20,0,0,0,2020-01-22,AF,Africa
Gambia,13.4432,-15.3101,1/22/20,0,0,0,2020-01-22,AF,Africa
Georgia,42.3154,43.3569,1/22/20,0,0,0,2020-01-22,AS,Asia
Germany,51.0,9.0,1/22/20,0,0,0,2020-01-22,EU,Europe
Ghana,7.9465,-1.0232,1/22/20,0,0,0,2020-01-22,AF,Africa
Greece,39.0742,21.8243,1/22/20,0,0,0,2020-01-22,EU,Europe
Guatemala,15.7835,-90.2308,1/22/20,0,0,0,2020-01-22,NA,North America
Guinea,9.9456,-9.6966,1/22/20,0,0,0,2020-01-22,AF,Africa
Guyana,5.0,-58.75,1/22/20,0,0,0,2020-01-22,SA,South America
Haiti,18.9712,-72.2852,1/22/20,0,0,0,2020-01-22,NA,North America
Honduras,15.2,-86.2419,1/22/20,0,0,0,2020-01-22,NA,North America
Hungary,47.1625,19.5033,1/22/20,0,0,0,2020-01-22,EU,Europe
Iceland,64.9631,-19.0208,1/22/20,0,0,0,2020-01-22,EU,Europe
India,21.0,78.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Indonesia,-0.7893,113.9213,1/22/20,0,0,0,2020-01-22,AS,Asia
Iran,32.0,53.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Iraq,33.0,44.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Ireland,53.1424,-7.6921,1/22/20,0,0,0,2020-01-22,EU,Europe
Israel,31.0,35.0,1/22/20,0,0,0,2020-01-22,AS,Asia
Italy,43.0,12.0,1/22/20,0,0,0,2020-01-22,EU,Europe
Jamaica,18.1096,-77.2975,1/22/20,0,0,0,2020-01-22,NA,North America
Japan,36.0,138.0,1/22/20,2,0,0,2020-01-22,AS,Asia
Jordan,31.24,36.51,1/22/20,0,0,0,2020-01-22,AS,Asia
Kazakhstan,48.0196,66.9237,1/22/20,0,0,0,2020-01-22,AS,Asia
Kenya,-0.0236,37.9062,1/22/20,0,0,0,2020-01-22,AF,Africa
South Korea,36.0,128.0,1/22/20,1,0,0,2020-01-22,AS,Asia
Kuwait,29.5,47.75,1/22/20,0,0,0,2020-01-22,AS,Asia
Kyrgyzstan,41.2044,74.7661,1/22/20,0,0,0,2020-01-22,AS,Asia
Latvia,56.8796,24.6032,1/22/20,0,0,0,2020-01-22,EU,Europe
Lebanon,33.8547,35.8623,1/22/20,0,0,0,2020-01-22,AS,Asia
Liberia,6.4281,-9.4295,1/22/20,0,0,0,2020-01-22,AF,Africa
Liechtenstein,47.14,9.55,1/22/20,0,0,0,2020-01-22,EU,Europe
Lithuania,55.1694,23.8813,1/22/20,0,0,0,2020-01-22,EU,Europe
Luxembourg,49.8153,6.1296,1/22/20,0,0,0,2020-01-22,EU,Europe
Madagascar,-18.7669,46.8691,1/22/20,0,0,0,2020-01-22,AF,Africa
